run_id,model,surface,real_split,layer,normalized_depth,real_template_accuracy,nonce_heldout_accuracy,real_to_nonce_accuracy,nonce_to_real_accuracy,transfer_mean_accuracy,centroid_nearest_accuracy,centroid_alignment_margin,overlap_template_eta2,overlap_source_eta2,source_eta2_on_pc1,token_count_r2_on_pc1,balanced_layer_score
REP01_E06b,Qwen3-8B,full,family,15,0.4166666666666667,0.7916666666666666,0.75,0.69,0.6933333333333334,0.6916666666666667,0.4,0.0009135901927947998,0.03004219401781199,0.03330334096923371,0.009670734863684449,0.22075942096549403,1.0040870606488543
REP01_E06b,Qwen3-8B,full,family,16,0.4444444444444444,0.7638888888888888,0.75,0.7,0.6333333333333333,0.6666666666666666,0.4,0.0010004490613937378,0.03006885072984379,0.03330811127622893,0.009673012711961304,0.22075858235461868,0.9791693588631767
REP01_E06b,Qwen3-8B,full,family,17,0.4722222222222222,0.7222222222222222,0.8,0.69,0.5933333333333334,0.6416666666666666,0.4,0.000975489616394043,0.0300363181972314,0.03334065108127128,0.009688981020767306,0.2208386093436203,0.9540918528658843
REP01_E06b,Qwen3-8B,full,family,18,0.5,0.7083333333333334,0.8,0.68,0.56,0.6200000000000001,0.4,0.0010720938444137573,0.030000667967213717,0.03334229078684616,0.009688635032636592,0.22078853624708203,0.9325326689957971
REP01_E06b,Qwen3-8B,full,family,19,0.5277777777777778,0.7083333333333334,0.85,0.66,0.6066666666666667,0.6333333333333333,0.4,0.0012297630310058594,0.029950540867874426,0.03339805141991696,0.009714203353818594,0.2208109789390134,0.9459623002096686
REP01_E06b,Qwen3-8B,full,family,20,0.5555555555555556,0.75,0.9,0.69,0.64,0.665,0.4,0.001620754599571228,0.02991367102453069,0.033557322695690436,0.00979517205195691,0.2207768386295845,0.9778692222464846
REP01_E06b,Qwen3-8B,full,family,21,0.5833333333333334,0.75,0.9,0.7,0.5866666666666667,0.6433333333333333,0.4,0.0018933117389678955,0.02993333458490205,0.033483906372558124,0.00976467723125119,0.22078956199490787,0.9565453482010163
REP01_E06b,Qwen3-8B,full,family,22,0.6111111111111112,0.75,0.95,0.72,0.6666666666666666,0.6933333333333334,0.4,0.002283826470375061,0.02996837989122614,0.033479713609341405,0.009759442888001797,0.22082679251668072,1.0069307480651968
REP01_E06b,Qwen3-8B,full,family,23,0.6388888888888888,0.7222222222222222,0.9,0.76,0.6133333333333333,0.6866666666666666,0.4,0.003313899040222168,0.030038160191691064,0.03342421846928454,0.009732156649587147,0.22068464184373215,1.0013851867766712
REP01_E06b,Qwen3-8B,full,family,24,0.6666666666666666,0.7638888888888888,0.9,0.71,0.6333333333333333,0.6716666666666666,0.4,0.0052299946546554565,0.030082283646716095,0.033441310967026475,0.009725392918501993,0.22049688695900072,0.9883311286145456
REP01_E06b,Qwen3-8B,full,family,25,0.6944444444444444,0.7777777777777778,0.9,0.78,0.6666666666666666,0.7233333333333334,0.4,0.007902368903160095,0.03023035621386986,0.033235448854463216,0.009621047023517468,0.22024043377424538,1.042940144938469
REP01_E06b,Qwen3-8B,full,family,26,0.7222222222222222,0.7222222222222222,0.9,0.78,0.6533333333333333,0.7166666666666667,0.4,0.009598806500434875,0.030505307636825067,0.03286691001220478,0.009433128708226338,0.2204646642830998,1.038282397084122
REP01_E06b,Qwen3-8B,full,family,27,0.75,0.7083333333333334,0.9,0.73,0.6666666666666666,0.6983333333333333,0.4,0.011725828051567078,0.03078272129009488,0.032402954712934175,0.009157308372449543,0.22068566612930735,1.0224847901396392
REP01_E06b,Qwen3-8B,full,family,28,0.7777777777777778,0.6944444444444444,0.9,0.72,0.6733333333333333,0.6966666666666667,0.4,0.014288380742073059,0.030844695541675314,0.03223744483052669,0.009037694367135841,0.22081897819666074,1.0235128580290478
REP01_E06b,Qwen3-8B,full,family,29,0.8055555555555556,0.6666666666666666,0.95,0.67,0.7,0.685,0.4,0.017282038927078247,0.030993468219145025,0.031873106060275845,0.008813926614986794,0.22038737331060057,1.015312089539152
REP01_E06b,Qwen3-8B,full,family,30,0.8333333333333334,0.6527777777777778,0.95,0.69,0.6266666666666667,0.6583333333333333,0.4,0.02149982750415802,0.031036066746949618,0.031570530060865604,0.008620357644015203,0.22027211695080137,0.9931946015389255
REP01_E06b,Qwen3-8B,full,family,31,0.8611111111111112,0.6527777777777778,0.95,0.69,0.6666666666666666,0.6783333333333332,0.4,0.029445990920066833,0.031169855595056258,0.031308481171319846,0.008349698789295193,0.22073872644727469,1.0212861614702615
REP01_E06b,Qwen3-8B,full,family,32,0.8888888888888888,0.6527777777777778,0.95,0.7,0.6733333333333333,0.6866666666666666,0.4,0.03235501050949097,0.03111419334024594,0.032068708340484,0.008695440960247647,0.21982577994886,1.0319965238484585
REP01_E06b,Qwen3-8B,full,family,33,0.9166666666666666,0.6527777777777778,1.0,0.67,0.66,0.665,0.4,0.038514479994773865,0.030962980139541085,0.03225778828541026,0.008579870552183014,0.220658267610844,1.0160921248066526
REP01_E06b,Qwen3-8B,full,family,34,0.9444444444444444,0.6805555555555556,1.0,0.67,0.6333333333333333,0.6516666666666666,0.4,0.04237663745880127,0.030832487377280872,0.03353298526140017,0.009085676459715407,0.219489108225855,1.005638041807604
REP01_E06b,Qwen3-8B,full,family,35,0.9722222222222222,0.6805555555555556,0.95,0.62,0.6666666666666666,0.6433333333333333,0.4,0.07477298378944397,0.03082015965792231,0.04150915567666481,0.012816468179102676,0.21453743832768904,1.0229628018641903
REP01_E06b,Qwen3-8B,full,family,36,1.0,0.6527777777777778,0.9,0.63,0.5666666666666667,0.5983333333333334,0.6,0.22619202733039856,0.07370768587034848,0.06988641741507656,0.011007312294375219,0.16953866549474808,1.312254276874968
REP01_E07,Fanar-1-9B,base,item,0,0.0,0.5384615384615384,0.45,0.47,0.38,0.425,0.5,0.19460470974445343,0.05214267364220368,0.02879137750698542,0.2806140123627863,0.3321549880694434,1.0077745852201072
REP01_E07,Fanar-1-9B,base,item,1,0.023809523809523808,0.5,0.6,0.49,0.54,0.515,0.7,0.2080005407333374,0.0507921079903321,0.02596658539214812,0.30073429060863477,0.14421341628560855,1.3609806012697871
REP01_E07,Fanar-1-9B,base,item,2,0.047619047619047616,0.5769230769230769,0.95,0.43,0.74,0.585,0.7,0.23437140882015228,0.05311889247791052,0.02832360228700902,0.3670903521871728,0.27153936224083114,1.4231629659729355
REP01_E07,Fanar-1-9B,base,item,3,0.07142857142857142,0.7307692307692307,1.0,0.49,0.84,0.665,0.8,0.3049887716770172,0.05952540975158416,0.02800172814057566,0.542719710492237,0.4412513895054098,1.6316741961600894
REP01_E07,Fanar-1-9B,base,item,4,0.09523809523809523,0.8076923076923077,1.0,0.76,0.9,0.8300000000000001,1.0,0.402270644903183,0.0732467622567467,0.026065726191051884,0.62274485625869,0.5554910142640134,2.067332165146128
REP01_E07,Fanar-1-9B,base,item,5,0.11904761904761904,0.8846153846153846,1.0,0.82,0.94,0.8799999999999999,1.0,0.47327500581741333,0.09121212734791137,0.029145728102494287,0.1244503282278018,0.23445529744941745,2.2655154533525645
REP01_E07,Fanar-1-9B,base,item,6,0.14285714285714285,0.8076923076923077,0.95,0.77,0.92,0.845,1.0,0.4691630005836487,0.09810917963550683,0.038439746910013256,0.4199688609017228,0.37805197837546506,2.181210259079769
REP01_E07,Fanar-1-9B,base,item,7,0.16666666666666666,0.8461538461538461,0.95,0.67,0.9,0.785,1.0,0.42120128870010376,0.09764351639048231,0.04997668652145337,0.6784189942337244,0.3470001222240373,2.0694745716226413
REP01_E07,Fanar-1-9B,base,item,8,0.19047619047619047,0.8461538461538461,0.95,0.65,0.92,0.785,1.0,0.38040903210639954,0.09356914120964148,0.056493412524091347,0.6661501376770664,0.3358072071596887,2.024963817792386
