run_id,model,surface,real_split,layer,normalized_depth,overlap_template_eta2,overlap_source_eta2,real_template_eta2,real_root_eta2,real_family_eta2,real_affix_eta2
REP01_E06,Qwen3-8B,base,item,9,0.25,0.0651816103557925,0.15740124290432214,0.2808290648020614,0.6929272106437372,nan,nan
REP01_E06,Qwen3-8B,base,item,10,0.2777777777777778,0.06521483144525492,0.15738716254844973,0.2808456029058689,0.6929316981811963,nan,nan
REP01_E06,Qwen3-8B,base,item,11,0.3055555555555556,0.0652386947065395,0.15733379669897826,0.28085666931434394,0.6929203629733831,nan,nan
REP01_E06,Qwen3-8B,base,item,12,0.3333333333333333,0.06525524987760667,0.15738851617748195,0.2808684648985779,0.6929251106779075,nan,nan
REP01_E06,Qwen3-8B,base,item,13,0.3611111111111111,0.06521731297543995,0.15732527027243118,0.2808644947010519,0.6929185488971666,nan,nan
REP01_E06,Qwen3-8B,base,item,14,0.3888888888888889,0.06520568293606126,0.1574160402484798,0.2808838157409666,0.692943874589547,nan,nan
REP01_E06,Qwen3-8B,base,item,15,0.4166666666666667,0.06521212259895277,0.15737602901449024,0.280901009603393,0.6929323557661463,nan,nan
REP01_E06,Qwen3-8B,base,item,16,0.4444444444444444,0.06522225690887423,0.1573690274944678,0.2809037201141436,0.6929409445312094,nan,nan
REP01_E06,Qwen3-8B,base,item,17,0.4722222222222222,0.06531524572903935,0.15745078374009103,0.2812078631547397,0.6930152060086555,nan,nan
REP01_E06,Qwen3-8B,base,item,18,0.5,0.0652837331930833,0.15744776471115446,0.2811931072664913,0.6929977820095641,nan,nan
REP01_E06,Qwen3-8B,base,item,19,0.5277777777777778,0.06522697108349268,0.1575082467831344,0.2811587450821409,0.6930341787793397,nan,nan
REP01_E06,Qwen3-8B,base,item,20,0.5555555555555556,0.06513188602567874,0.15774365413141644,0.28111609742258187,0.6930454148633598,nan,nan
REP01_E06,Qwen3-8B,base,item,21,0.5833333333333334,0.06514912358805881,0.15762591756981895,0.28108673632496134,0.6930374028477725,nan,nan
REP01_E06,Qwen3-8B,base,item,22,0.6111111111111112,0.06518261209790512,0.1575861597574903,0.28104625611783596,0.6930578386971987,nan,nan
REP01_E06,Qwen3-8B,base,item,23,0.6388888888888888,0.06518726070148455,0.15734728292086395,0.28105056783706267,0.6931390016695975,nan,nan
REP01_E06,Qwen3-8B,base,item,24,0.6666666666666666,0.0651834683401043,0.15725486802802238,0.28101283843091185,0.6931429824306099,nan,nan
REP01_E06,Qwen3-8B,base,item,25,0.6944444444444444,0.06535972266137709,0.1566908438267984,0.28094223730432827,0.6931166616409816,nan,nan
REP01_E06,Qwen3-8B,base,item,26,0.7222222222222222,0.06571120648394316,0.15605246428823613,0.28096393313957585,0.6931880088101737,nan,nan
