run_id,model,surface,real_split,layer,normalized_depth,n_families,within_family_base_affix_cos,same_template_other_family_cos,different_template_cos,family_margin_vs_same_template,family_margin_vs_different_template,template_margin_inside_affix
REP01_E06b,Qwen3-8B,full,family,34,0.9444444444444444,128,0.5440096584922176,0.42569791385903955,0.38503012573346496,0.11831174463317806,0.15897953275875265,0.04066778812557459
REP01_E06b,Qwen3-8B,full,family,35,0.9722222222222222,128,0.45302802008592474,0.2849861286813393,0.2266125768655911,0.16804189140458542,0.22641544322033363,0.058373551815748215
REP01_E06b,Qwen3-8B,full,family,36,1.0,128,0.28422413603402674,0.048925154200333054,-0.04931433769706928,0.2352989818336937,0.333538473731096,0.09823949189740233
REP01_E07b,Fanar-1-9B,full,family,0,0.0,128,0.461592413531419,0.028841628075497283,-0.013617334046330143,0.4327507854559217,0.47520974757774914,0.042458962121827426
REP01_E07b,Fanar-1-9B,full,family,1,0.023809523809523808,128,0.466598978511776,0.0322186877049262,-0.014766947737371083,0.4343802908068498,0.4813659262491471,0.04698563544229728
REP01_E07b,Fanar-1-9B,full,family,2,0.047619047619047616,128,0.47199871614614847,0.03180304858960881,-0.017344367539408267,0.44019566755653966,0.48934308368555673,0.049147416129017074
REP01_E07b,Fanar-1-9B,full,family,3,0.07142857142857142,128,0.49093643354816296,0.0352376459229049,-0.02039670611850397,0.45569878762525806,0.5113331396666669,0.055634352041408874
REP01_E07b,Fanar-1-9B,full,family,4,0.09523809523809523,128,0.5129260918050531,0.04608429684196835,-0.021799358016153292,0.46684179496308476,0.5347254498212064,0.06788365485812164
REP01_E07b,Fanar-1-9B,full,family,5,0.11904761904761904,128,0.5169085912165722,0.06819231747294907,-0.029737250713878893,0.4487162737436231,0.5466458419304511,0.09792956818682796
REP01_E07b,Fanar-1-9B,full,family,6,0.14285714285714285,128,0.5669235472204321,0.068415856869251,-0.033816615330579225,0.49850769035118114,0.6007401625510114,0.10223247219983023
REP01_E07b,Fanar-1-9B,full,family,7,0.16666666666666666,128,0.5772347143393451,0.07453939858078229,-0.03247557961003622,0.5026953157585629,0.6097102939493814,0.10701497819081851
REP01_E07b,Fanar-1-9B,full,family,8,0.19047619047619047,128,0.5844847256223024,0.07644984811952327,-0.029724622392677702,0.5080348775027791,0.6142093480149801,0.10617447051220097
REP01_E07b,Fanar-1-9B,full,family,9,0.21428571428571427,128,0.6036914675733296,0.07570238918174255,-0.02921228722698288,0.527989078391587,0.6329037548003125,0.10491467640872543
REP01_E07b,Fanar-1-9B,full,family,10,0.23809523809523808,128,0.5944490967697259,0.07616970858725836,-0.02922943318480975,0.5182793881824675,0.6236785299545357,0.1053991417720681
REP01_E07b,Fanar-1-9B,full,family,11,0.2619047619047619,128,0.5843645014081909,0.07676890718636287,-0.029767411720968084,0.507595594221828,0.6141319131291589,0.10653631890733095
REP01_E07b,Fanar-1-9B,full,family,12,0.2857142857142857,128,0.5724393865369829,0.08271635037976921,-0.03081886163818126,0.4897230361572137,0.6032582481751642,0.11353521201795047
REP01_E07b,Fanar-1-9B,full,family,13,0.30952380952380953,128,0.5443425540520289,0.08037393772019641,-0.032145760938874446,0.4639686163318325,0.5764883149909034,0.11251969865907085
REP01_E07b,Fanar-1-9B,full,family,14,0.3333333333333333,128,0.5298416738761431,0.07646595608093776,-0.030596517002777546,0.45337571779520536,0.5604381908789207,0.1070624730837153
REP01_E07b,Fanar-1-9B,full,family,15,0.35714285714285715,128,0.5126593017603381,0.07563943650620786,-0.02973430548831857,0.4370198652541303,0.5423936072486567,0.10537374199452643
REP01_E07b,Fanar-1-9B,full,family,16,0.38095238095238093,128,0.4971611827248865,0.07297601919344743,-0.03003906875528628,0.4241851635314391,0.5272002514801728,0.10301508794873371
REP01_E07b,Fanar-1-9B,full,family,17,0.40476190476190477,128,0.4908240552068199,0.06749316923156812,-0.028132213734352263,0.42333088597525176,0.5189562689411722,0.09562538296592038
REP01_E07b,Fanar-1-9B,full,family,18,0.42857142857142855,128,0.5097956224107894,0.07179122921843373,-0.02759368143415486,0.4380043931923556,0.5373893038449442,0.09938491065258859
REP01_E07b,Fanar-1-9B,full,family,19,0.4523809523809524,128,0.5067350247843285,0.0745687511516735,-0.027839743323966104,0.43216627363265503,0.5345747681082946,0.1024084944756396
REP01_E07b,Fanar-1-9B,full,family,20,0.47619047619047616,128,0.5116367437245356,0.07623934170533175,-0.027496074542796123,0.43539740201920385,0.5391328182673317,0.10373541624812788
REP01_E07b,Fanar-1-9B,full,family,21,0.5,128,0.5093667819085768,0.07701782052390627,-0.027944243574893335,0.4323489613846705,0.5373110254834701,0.1049620640987996
REP01_E07b,Fanar-1-9B,full,family,22,0.5238095238095238,128,0.5139161446802634,0.07942845192792447,-0.028950750707736006,0.4344876927523389,0.5428668953879994,0.10837920263566048
REP01_E07b,Fanar-1-9B,full,family,23,0.5476190476190477,128,0.5146144502125365,0.08880161724118807,-0.03164218023448484,0.4258128329713484,0.5462566304470213,0.12044379747567291
REP01_E07b,Fanar-1-9B,full,family,24,0.5714285714285714,128,0.49837605315813066,0.0934899535295699,-0.036905212418787414,0.40488609962856076,0.5352812655769181,0.13039516594835732
REP01_E07b,Fanar-1-9B,full,family,25,0.5952380952380952,128,0.4934310275051048,0.09580979149268387,-0.039832199603552,0.39762123601242094,0.5332632271086568,0.13564199109623587
REP01_E07b,Fanar-1-9B,full,family,26,0.6190476190476191,128,0.48854713671114613,0.09325368821419033,-0.04449581047083484,0.3952934484969558,0.533042947181981,0.13774949868502517
REP01_E07b,Fanar-1-9B,full,family,27,0.6428571428571429,128,0.4938382996498781,0.09400859678044071,-0.04280169177945936,0.39982970286943736,0.5366399914293374,0.13681028855990007
REP01_E07b,Fanar-1-9B,full,family,28,0.6666666666666666,128,0.5352169716122986,0.09771934822310868,-0.0404711761730141,0.43749762338918996,0.5756881477853127,0.13819052439612278
REP01_E07b,Fanar-1-9B,full,family,29,0.6904761904761905,128,0.5197042957958529,0.09316079531345167,-0.044172462294227444,0.4265435004824012,0.5638767580900803,0.13733325760767912
REP01_E07b,Fanar-1-9B,full,family,30,0.7142857142857143,128,0.5274363269287524,0.0931892452408647,-0.04366705680877203,0.4342470816878877,0.5711033837375245,0.13685630204963672
REP01_E07b,Fanar-1-9B,full,family,31,0.7380952380952381,128,0.5332324511482048,0.09516473122130265,-0.042708256893092766,0.4380677199269022,0.5759407080412976,0.1378729881143954
REP01_E07b,Fanar-1-9B,full,family,32,0.7619047619047619,128,0.523204205796454,0.09073927478402766,-0.0415799403017445,0.43246493101242633,0.5647841460981985,0.13231921508577216
REP01_E07b,Fanar-1-9B,full,family,33,0.7857142857142857,128,0.5101890100908103,0.08823603210475994,-0.04533854791952763,0.42195297798605036,0.5555275580103379,0.13357458002428757
REP01_E07b,Fanar-1-9B,full,family,34,0.8095238095238095,128,0.4999493452231005,0.085118492345714,-0.04347461459110491,0.4148308528773865,0.5434239598142054,0.1285931069368189
REP01_E07b,Fanar-1-9B,full,family,35,0.8333333333333334,128,0.4818333723598113,0.08160221185073624,-0.04716960257064784,0.40023116050907503,0.5290029749304591,0.12877181442138408
REP01_E07b,Fanar-1-9B,full,family,36,0.8571428571428571,128,0.45233956981702883,0.07738269141736964,-0.05046282678813441,0.3749568783996592,0.5028023966051632,0.12784551820550405
REP01_E07b,Fanar-1-9B,full,family,37,0.8809523809523809,128,0.4307811771345846,0.06615040624910762,-0.05293123174487846,0.36463077088547696,0.48371240887946304,0.11908163799398608
REP01_E07b,Fanar-1-9B,full,family,38,0.9047619047619048,128,0.40918771915287727,0.05720670810023876,-0.0589482880095602,0.3519810110526385,0.4681360071624375,0.11615499610979896
REP01_E07b,Fanar-1-9B,full,family,39,0.9285714285714286,128,0.39939440816435645,0.05535877104375686,-0.059037526516476646,0.3440356371205996,0.4584319346808331,0.1143962975602335
REP01_E07b,Fanar-1-9B,full,family,40,0.9523809523809523,128,0.39096258968209563,0.05374832132520169,-0.05865306089253863,0.33721426835689394,0.44961565057463426,0.11240138221774032
REP01_E07b,Fanar-1-9B,full,family,41,0.9761904761904762,128,0.3839732709141464,0.05414360353097436,-0.057515454398526344,0.32982966738317204,0.44148872531267275,0.1116590579295007
REP01_E07b,Fanar-1-9B,full,family,42,1.0,128,0.386491222097933,0.07910368792909139,-0.0566037026981121,0.3073875341688416,0.4430949247960451,0.1357073906272035
REP01_E08b,ALLaM-7B,full,family,0,0.0,128,0.2946140545112539,0.014963466819239102,-0.00990305523527013,0.2796505876920148,0.304517109746524,0.024866522054509232
REP01_E08b,ALLaM-7B,full,family,1,0.03125,128,0.3752833094222913,0.025000865428694397,-0.01552670428294789,0.3502824439935969,0.3908100137052392,0.040527569711642286
REP01_E08b,ALLaM-7B,full,family,2,0.0625,128,0.32904961163777924,0.04473108409638371,-0.02979733508254867,0.2843185275413955,0.3588469467203279,0.07452841917893238
REP01_E08b,ALLaM-7B,full,family,3,0.09375,128,0.46611791445037065,0.08776539663767835,-0.05431991373188794,0.3783525178126923,0.5204378281822586,0.1420853103695663
REP01_E08b,ALLaM-7B,full,family,4,0.125,128,0.46610119004370804,0.08762817202821793,-0.054685328155756,0.3784730180154901,0.520786518199464,0.14231350018397393
REP01_E08b,ALLaM-7B,full,family,5,0.15625,128,0.4661005068633516,0.0876271794453114,-0.054686021292582154,0.3784733274180402,0.5207865281559337,0.14231320073789355
REP01_E08b,ALLaM-7B,full,family,6,0.1875,128,0.46609973023503515,0.08762611224341932,-0.05468679708428681,0.37847361799161583,0.520786527319322,0.14231290932770613
REP01_E08b,ALLaM-7B,full,family,7,0.21875,128,0.4660996049642563,0.08762494700365941,-0.05468772049061954,0.37847465796059687,0.5207873254548758,0.14231266749427895
REP01_E08b,ALLaM-7B,full,family,8,0.25,128,0.46609939432750314,0.08762357207726623,-0.05468885041773319,0.3784758222502369,0.5207882447452363,0.14231242249499942
REP01_E08b,ALLaM-7B,full,family,9,0.28125,128,0.46609941958370854,0.08762144855508325,-0.05469047883525491,0.3784779710286253,0.5207898984189634,0.14231192739033816
REP01_E08b,ALLaM-7B,full,family,10,0.3125,128,0.4660990377098827,0.08761943630007352,-0.05469210701994598,0.3784796014098092,0.5207911447298287,0.1423115433200195
